System,Base URL,Category,Method,Endpoint,Description
Common Backend,https://b2b.sangvish.com,General,POST,/api/commission/calculate,Create / submit a new commission
Common Settings,https://b2b.sangvish.com,Global Options,GET,/api/common/languages,Get list of common records
Common Settings,https://b2b.sangvish.com,Global Options,GET,/api/common/currencies,Get list of common records
Common Settings,https://b2b.sangvish.com,Global Options,GET,/api/common/countries,Get list of common records
Common Settings,https://b2b.sangvish.com,Global Options,GET,/api/common/states/:countryId,Get list of common records
Common Settings,https://b2b.sangvish.com,Global Options,GET,/api/common/business-types,Get list of common records
Common Settings,https://b2b.sangvish.com,Global Options,GET,/api/common/footer-sections,Get list of common records
Common Settings,https://b2b.sangvish.com,Global Options,GET,/api/common/shipping-rules,Get list of common records
Common Settings,https://b2b.sangvish.com,Global Options,GET,/api/common/trust-items,Get list of common records
Common Settings,https://b2b.sangvish.com,Global Options,GET,/api/common/partners,Get list of common records
Common Settings,https://b2b.sangvish.com,Global Options,POST,/api/common/shipping/calculate,Create / submit a new common
Common Settings,https://b2b.sangvish.com,Global Options,GET,/api/common/payout-methods,Get list of common records
Company Catalog,https://b2b.sangvish.com,Supplier Directory,GET,/api/company/profile,Get list of company records
Company Catalog,https://b2b.sangvish.com,Supplier Directory,POST,/api/company/profile,Create / submit a new company
Company Catalog,https://b2b.sangvish.com,Supplier Directory,PUT,/api/company/profile,Update company by ID
