System,Base URL,Category,Method,Endpoint,Description
Common Backend,https://b2b.sangvish.com,General,POST,/api/product/:id/request-sample,Create / submit a new product
Common Backend,https://b2b.sangvish.com,General,GET,/api/product/admin/all,Get list of product records
Common Backend,https://b2b.sangvish.com,General,GET,/api/product/admin/export,Get list of product records
Common Backend,https://b2b.sangvish.com,General,PUT,/api/product/:id/approve,Update product by ID
Common Backend,https://b2b.sangvish.com,General,PUT,/api/product/:id/reject,Update product by ID
Common Backend,https://b2b.sangvish.com,General,GET,/api/review/product/:productId,Get list of review records
Common Backend,https://b2b.sangvish.com,General,POST,/api/review,Create / submit a new review
Common Backend,https://b2b.sangvish.com,General,GET,/api/review/my-reviews,Get list of review records
Common Backend,https://b2b.sangvish.com,General,POST,/api/review/:id/report,Create / submit a new review
Common Backend,https://b2b.sangvish.com,General,GET,/api/review/supplier/my-products,Get list of review records
Common Backend,https://b2b.sangvish.com,General,PUT,/api/review/:id/reply,Update review by ID
Common Backend,https://b2b.sangvish.com,General,GET,/api/review/admin/all,Get list of review records
Common Backend,https://b2b.sangvish.com,General,PUT,/api/review/admin/:id/toggle-hide,Update review by ID
Common Backend,https://b2b.sangvish.com,General,PUT,/api/review/admin/:id,Update review by ID
Common Backend,https://b2b.sangvish.com,General,DELETE,/api/review/admin/:id,Delete review by ID
Common Backend,https://b2b.sangvish.com,General,DELETE,/api/review/admin/:id/reply,Delete review by ID
RFQ & Negotiations,https://b2b.sangvish.com,Sourcing & RFQ,GET,/api/rfq,Get list of rfq records
RFQ & Negotiations,https://b2b.sangvish.com,Sourcing & RFQ,POST,/api/rfq,Create / submit a new rfq
RFQ & Negotiations,https://b2b.sangvish.com,Sourcing & RFQ,GET,/api/rfq/my-rfqs,Get list of rfq records
RFQ & Negotiations,https://b2b.sangvish.com,Sourcing & RFQ,GET,/api/rfq/:id,Get rfq details by ID
RFQ & Negotiations,https://b2b.sangvish.com,Sourcing & RFQ,POST,/api/rfq/:id/quote,Create / submit a new rfq
RFQ & Negotiations,https://b2b.sangvish.com,Sourcing & RFQ,GET,/api/rfq/:id/quotes,Get rfq details by ID
RFQ & Negotiations,https://b2b.sangvish.com,Sourcing & RFQ,PUT,/api/rfq/quote/:quoteId/status,Update rfq by ID
RFQ & Negotiations,https://b2b.sangvish.com,Sourcing & RFQ,PUT,/api/rfq/quote/:quoteId/negotiate,Update rfq by ID
RFQ & Negotiations,https://b2b.sangvish.com,Sourcing & RFQ,GET,/api/rfq/my-quotes,Get list of rfq records
RFQ & Negotiations,https://b2b.sangvish.com,Sourcing & RFQ,PUT,/api/rfq/:id/boost,Update rfq by ID
Checkout & Transactions,https://b2b.sangvish.com,Orders & Address,POST,/api/shipping-address,Create / submit a new shippingaddress
Checkout & Transactions,https://b2b.sangvish.com,Orders & Address,GET,/api/shipping-address,Get list of shippingaddress records
Checkout & Transactions,https://b2b.sangvish.com,Orders & Address,PUT,/api/shipping-address/:id,Update shippingaddress by ID
Checkout & Transactions,https://b2b.sangvish.com,Orders & Address,DELETE,/api/shipping-address/:id,Delete shippingaddress by ID
Checkout & Transactions,https://b2b.sangvish.com,Orders & Address,PUT,/api/shipping-address/:id/set-default,Update shippingaddress by ID
Billing Engine,https://b2b.sangvish.com,Sub-plans,GET,/api/subscription-plans,Get list of subscriptionplan records
Billing Engine,https://b2b.sangvish.com,Sub-plans,POST,/api/subscription-plans,Create / submit a new subscriptionplan
Billing Engine,https://b2b.sangvish.com,Sub-plans,PUT,/api/subscription-plans/:id,Update subscriptionplan by ID
Billing Engine,https://b2b.sangvish.com,Sub-plans,DELETE,/api/subscription-plans/:id,Delete subscriptionplan by ID
Billing Engine,https://b2b.sangvish.com,Sub-plans,POST,/api/subscription-plans/purchase/:id,Create / submit a new subscriptionplan
Billing Engine,https://b2b.sangvish.com,Sub-plans,POST,/api/subscription-plans/verify-session,Create / submit a new subscriptionplan
Billing Engine,https://b2b.sangvish.com,Sub-plans,POST,/api/subscription-plans/verify-razorpay,Create / submit a new subscriptionplan
Billing Engine,https://b2b.sangvish.com,Sub-plans,POST,/api/subscription-plans/verify-paypal,Create / submit a new subscriptionplan
Supplier Dashboard,https://b2b.sangvish.com,Supplier Operations,GET,/api/supplier/stats,Get list of supplier records
Common Backend,https://b2b.sangvish.com,General,GET,/api/tax,Get list of tax records
Common Backend,https://b2b.sangvish.com,General,POST,/api/tax,Create / submit a new tax
Common Backend,https://b2b.sangvish.com,General,POST,/api/tax/calculate,Create / submit a new tax
Common Backend,https://b2b.sangvish.com,General,GET,/api/tax/:id,Get tax details by ID
Common Backend,https://b2b.sangvish.com,General,PUT,/api/tax/:id,Update tax by ID
Common Backend,https://b2b.sangvish.com,General,DELETE,/api/tax/:id,Delete tax by ID
Common Backend,https://b2b.sangvish.com,General,POST,/api/webhook/stripe,Create / submit a new webhook
Customer Experience,https://b2b.sangvish.com,User Interactions,GET,/api/wishlist,Get list of wishlist records
Customer Experience,https://b2b.sangvish.com,User Interactions,POST,/api/wishlist/toggle/:productId,Create / submit a new wishlist
Customer Experience,https://b2b.sangvish.com,User Interactions,POST,/api/wishlist/:productId,Create / submit a new wishlist
Customer Experience,https://b2b.sangvish.com,User Interactions,DELETE,/api/wishlist/:productId,Delete wishlist by ID
Customer Experience,https://b2b.sangvish.com,User Interactions,GET,/api/wishlist/check/:productId,Get list of wishlist records
Common Settings,https://b2b.sangvish.com,Global Options,GET,/api/worldwide/countries,Get list of worldwide records
Common Settings,https://b2b.sangvish.com,Global Options,GET,/api/worldwide,Get list of worldwide records
Common Settings,https://b2b.sangvish.com,Global Options,GET,/api/worldwide/admin/hubs,Get list of worldwide records
Common Settings,https://b2b.sangvish.com,Global Options,POST,/api/worldwide/admin/hubs,Create / submit a new worldwide
